Country,Rank,population_total,manpower_available,manpower_fit_for_service,manpower_reaching_age_annually,manpower_active,manpower_reserve_active,manpower_paramilitary,aircraft_total,aircraft_total_fighters,aircraft_total_attack_types,aircraft_total_transports,aircraft_total_trainers,aircraft_total_special_mission,aircraft_total_tanker_fleet,aircraft_helicopters_total,aircraft_helicopters_attack,armor_tanks_total,armor_apc_total,armor_self_propelled_guns_total,armor_towed_artillery_total,armor_mlrs_total,navy_ships,navy_aircraft_carriers,navy_helo_carriers,navy_submarines,navy_destroyers,navy_frigates,navy_corvettes,navy_patrol_coastal_craft,navy_mine_warfare_craft,defense_spending_budget,external_debt,purchasing_power_parity,reserves_of_foreign_exchange_and_gold,major_serviceable_airports,labor_force,major_ports_and_terminals,railway,roadway,oil_production,oil_consumption,proven_oil_reserves,natural_gas_production,natural_gas_consumption,proven_natural_gas_reserves,coal_production,coal_consumption,proven_coal_reserves,square_land_area,coastline,border,waterway
Nepal,124,31122387.0,15249970.0,11733140.0,778060.0,98500.0,82000.0,15000.0,17.0,0.0,0.0,7.0,0.0,0.0,0.0,10.0,0.0,0.0,1108.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431355326.0,5719000000.0,149643000000.0,12456000000.0,51.0,8435000.0,0.0,59.0,64500.0,0.0,71000.0,0.0,0.0,0.0,0.0,9000.0,1091000.0,8000000.0,147181.0,0.0,3159.0,0.0
Laos,125,7953556.0,3499565.0,2521277.0,159071.0,100000.0,30000.0,120000.0,29.0,0.0,0.0,2.0,7.0,0.0,0.0,20.0,0.0,160.0,7725.0,50.0,97.0,64.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,355600000.0,9619000000.0,66905000000.0,1770000000.0,20.0,3585000.0,0.0,422.0,59647.0,0.0,25000.0,0.0,0.0,0.0,0.0,16629000.0,15944000.0,62000000.0,236800.0,0.0,5274.0,4600.0
Senegal,126,18847519.0,7162057.0,4089912.0,395798.0,17000.0,0.0,0.0,39.0,0.0,0.0,5.0,22.0,1.0,0.0,19.0,5.0,0.0,1860.0,0.0,20.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,777800000.0,14985000000.0,83183000000.0,889295000.0,20.0,5763000.0,6.0,906.0,16665.0,9000.0,65000.0,0.0,54646000.0,54498000.0,0.0,0.0,138000.0,0.0,196722.0,531.0,2684.0,1000.0
Burkina Faso,127,23042199.0,8525614.0,6060098.0,368675.0,7500.0,0.0,4500.0,26.0,0.0,3.0,2.0,0.0,2.0,0.0,19.0,5.0,0.0,876.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4590000000.0,3565000000.0,60001000000.0,47138000.0,49.0,6461000.0,0.0,622.0,15304.0,0.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274200.0,0.0,3611.0,0.0
Montenegro,128,599849.0,143964.0,85179.0,3599.0,2350.0,0.0,5500.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,946.0,0.0,12.0,12.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,204000000.0,3643000000.0,17375000000.0,1741000000.0,5.0,245300.0,4.0,250.0,7762.0,0.0,9000.0,0.0,0.0,0.0,0.0,1862000.0,1658000.0,337000000.0,13812.0,294.0,680.0,0.0
El Salvador,129,6628702.0,3181777.0,2512278.0,145831.0,25000.0,0.0,15000.0,51.0,0.0,15.0,3.0,10.0,0.0,0.0,28.0,0.0,0.0,2144.0,0.0,76.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1037200000.0,12668000000.0,73961000000.0,3705000000.0,27.0,2890000.0,3.0,13.0,9012.0,3.0,56000.0,0.0,0.0,226472.0,0.0,0.0,500.0,0.0,21041.0,307.0,590.0,422.0
Botswana,130,2450668.0,1029281.0,617568.0,24507.0,12000.0,0.0,0.0,45.0,10.0,0.0,9.0,10.0,0.0,0.0,16.0,0.0,45.0,1224.0,12.0,36.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581000000.0,1761000000.0,45553000000.0,3456000000.0,122.0,1173000.0,0.0,888.0,31747.0,0.0,22000.0,0.0,0.0,0.0,0.0,2242000.0,1351000.0,1660000000.0,581730.0,0.0,4347.0,0.0
Madagascar,131,29452714.0,11192031.0,7952233.0,559602.0,13500.0,0.0,8100.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,12.0,316.0,0.0,17.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,147630000.0,3548000000.0,52968000000.0,2785000000.0,93.0,16519000.0,13.0,836.0,31640.0,0.0,20000.0,0.0,0.0,0.0,0.0,0.0,472000.0,150000000.0,587040.0,4828.0,0.0,600.0
Gabon,132,2455105.0,932940.0,532758.0,46647.0,5000.0,0.0,2500.0,25.0,6.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,424.0,0.0,4.0,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,340950000.0,6442000000.0,48045000000.0,1447000000.0,42.0,824400.0,9.0,649.0,14300.0,204000.0,14000.0,2000000000.0,463000000.0,463000000.0,25995000000.0,0.0,0.0,0.0,267667.0,885.0,3261.0,1600.0
Bosnia and Herzegovina,133,3798671.0,2355176.0,1956316.0,49383.0,18000.0,8000.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,45.0,892.0,0.0,300.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289920000.0,5359000000.0,64641000000.0,9419000000.0,20.0,1356000.0,1.0,965.0,8619.0,0.0,34000.0,0.0,0.0,225824000.0,0.0,12311000.0,12304000.0,2264000000.0,51197.0,20.0,1543.0,990.0
Iceland,134,364036.0,83728.0,50237.0,1820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500000000.0,24200000000.0,26561000000.0,6403000000.0,82.0,248400.0,43.0,0.0,12905.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,137000.0,0.0,100250.0,4970.0,0.0,0.0
Panama,135,4470241.0,2011608.0,1206965.0,53643.0,16300.0,0.0,80000.0,38.0,0.0,0.0,13.0,0.0,2.0,0.0,23.0,0.0,0.0,1550.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1069750000.0,1227085530000.0,164484000000.0,6856000000.0,77.0,2206000.0,12.0,77.0,11978.0,0.0,131000.0,0.0,0.0,389611000.0,0.0,0.0,863000.0,0.0,75420.0,2490.0,687.0,800.0
Moldova,136,3599528.0,2159717.0,1792565.0,71991.0,6500.0,2000.0,2000.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1598.0,4.0,67.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114114000.0,2637000000.0,39342000000.0,5848000000.0,10.0,1358000.0,0.0,1171.0,9488.0,0.0,22000.0,0.0,10000.0,2344000000.0,0.0,0.0,90000.0,0.0,33851.0,0.0,1885.0,558.0
Somalia,137,13017273.0,2993973.0,1796384.0,130173.0,30000.0,0.0,2000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1104.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,870000000.0,2563000000.0,26770000000.0,16747500.0,40.0,3439000.0,6.0,0.0,15000.0,0.0,6000.0,0.0,0.0,0.0,5663000000.0,0.0,0.0,0.0,637657.0,3025.0,2385.0,0.0
Benin,138,14697052.0,5584880.0,3189260.0,308638.0,4750.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.0,0.0,92.0,0.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,137690000.0,6309000000.0,56424000000.0,698900000.0,10.0,6397000.0,1.0,438.0,16000.0,0.0,40000.0,8000000.0,0.0,182131000.0,1133000000.0,0.0,164000.0,0.0,112622.0,121.0,2123.0,150.0
Kosovo,139,1977093.0,917371.0,743387.0,17794.0,4000.0,5000.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1177450000.0,785739000.0,25019000000.0,1310000000.0,2.0,500300.0,0.0,437.0,2248.0,0.0,16000.0,0.0,0.0,0.0,0.0,6924000.0,6931000.0,1564000000.0,10887.0,0.0,714.0,0.0
Sierra Leone,140,9121049.0,2006631.0,1203978.0,45605.0,13000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,350.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,450000000.0,1451000000.0,26728000000.0,495699000.0,8.0,2863000.0,3.0,0.0,11701.0,0.0,9000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71740.0,402.0,1093.0,800.0
Liberia,141,5437249.0,2392390.0,1913912.0,65247.0,2100.0,0.0,5500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,20700000.0,1335000000.0,9308000000.0,599660000.0,19.0,2607000.0,4.0,429.0,10600.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111369.0,579.0,1667.0,0.0
Suriname,142,646758.0,142287.0,84079.0,3234.0,2500.0,0.0,200.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1250.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,58440000.0,2645000000.0,12316000000.0,1632000000.0,55.0,255500.0,4.0,0.0,4304.0,14000.0,17000.0,89000000.0,7109000.0,6967000.0,0.0,0.0,0.0,0.0,163820.0,386.0,1907.0,1200.0
Central African Republic,143,5650957.0,2203873.0,1254512.0,101717.0,30000.0,0.0,1000.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000000.0,724179000.0,5926000000.0,374405000.0,43.0,2000000.0,0.0,0.0,24000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,622984.0,0.0,5920.0,2800.0
Beliz,144,415789.0,158000.0,90226.0,8732.0,2000.0,850.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,164.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,34400000.0,1235000000.0,5538000000.0,498087000.0,27.0,190000.0,2.0,0.0,3281.0,800.0,5000.0,6700000.0,0.0,0.0,0.0,0.0,0.0,0.0,22966.0,386.0,542.0,825.0
Bhutan,145,884546.0,203446.0,122067.0,4423.0,16000.0,50000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26600000.0,2827000000.0,11517000000.0,941018000.0,4.0,406500.0,0.0,0.0,12205.0,0.0,4000.0,0.0,0.0,0.0,0.0,4000.0,105000.0,0.0,38394.0,0.0,1136.0,0.0
