Country,region,continent,alliance,metric,value
Democratic Republic of the Congo,Africa,Africa,Non-NATO,Rank,66
Cuba,Central America,North America,Non-NATO,Rank,67
Austria,Central Europe,Europe,Non-NATO,Rank,68
Sri Lanka,Asia-Pacific,Asia,Non-NATO,Rank,69
Belarus,Eastern Europe,Europe,Non-NATO,Rank,70
Slovakia,Eastern Europe,Europe,NATO,Rank,71
Qatar,Middle East,Asia,Non-NATO,Rank,72
Sudan,Africa,Africa,Non-NATO,Rank,73
Croatia,Balkans,Europe,NATO,Rank,74
Jordan,Middle East,Asia,Non-NATO,Rank,75
Libya,Africa,Africa,Non-NATO,Rank,76
Turkmenistan,Asia,Asia,Non-NATO,Rank,77
Albania,Balkans,Europe,NATO,Rank,78
Kuwait,Gulf Powers,Asia,Non-NATO,Rank,79
Bolivia,Latin America,South America,Non-NATO,Rank,80
Bahrain,Gulf Powers,Asia,Non-NATO,Rank,81
Oman,Gulf Powers,Asia,Non-NATO,Rank,82
Kenya,Africa,Africa,Non-NATO,Rank,83
Chad,Africa,Africa,Non-NATO,Rank,84
Yemen,Middle East,Asia,Non-NATO,Rank,85
New Zealand,Asia-Pacific,Oceania,Non-NATO,Rank,86
Paraguay,Latin America,South America,Non-NATO,Rank,87
Lithuania,Northern Europe,Europe,NATO,Rank,88
Mozambique,Africa,Africa,Non-NATO,Rank,89
Tunisia,Africa,Africa,Non-NATO,Rank,90
Armenia,Asia,Asia,Non-NATO,Rank,91
Tanzania,Africa,Africa,Non-NATO,Rank,92
Cameroon,Africa,Africa,Non-NATO,Rank,93
Georgia,Asia,Asia,Non-NATO,Rank,94
Cambodia,Southeast Asia,Asia,Non-NATO,Rank,95
Slovenia,Balkans,Europe,NATO,Rank,96
Ireland,Northern Europe,Europe,Non-NATO,Rank,97
Mongolia,Asia-Pacific,Asia,Non-NATO,Rank,98
Latvia,Northern Europe,Europe,NATO,Rank,99
Uruguay,Latin America,South America,Non-NATO,Rank,100
Honduras,Central America,North America,Non-NATO,Rank,101
Ivory Coast,Africa,Africa,Non-NATO,Rank,102
Guatemala,Central America,North America,Non-NATO,Rank,103
Mali,Africa,Africa,Non-NATO,Rank,104
Kyrgyzstan,Asia,Asia,Non-NATO,Rank,105
Laos,Southeast Asia,Asia,Non-NATO,Rank,106
Estonia,Northern Europe,Europe,NATO,Rank,107
Tajikistan,Asia,Asia,Non-NATO,Rank,108
Zambia,Africa,Africa,Non-NATO,Rank,109
Ghana,Africa,Africa,Non-NATO,Rank,110
Zimbabwe,Africa,Africa,Non-NATO,Rank,111
North Macedonia,Balkans,Europe,Non-NATO,Rank,112
South Sudan,Africa,Africa,Non-NATO,Rank,113
Uganda,Africa,Africa,Non-NATO,Rank,114
Lebanon,Middle East,Asia,Non-NATO,Rank,115
Namibia,Africa,Africa,Non-NATO,Rank,116
Luxembourg,Western Europe,Europe,NATO,Rank,117
Afghanistan,Asia,Asia,Non-NATO,Rank,118
Niger,Africa,Africa,Non-NATO,Rank,119
Eritrea,Africa,Africa,Non-NATO,Rank,120
Republic of the Congo,Africa,Africa,Non-NATO,Rank,121
Botswana,Africa,Africa,Non-NATO,Rank,122
Mauritania,Africa,Africa,Non-NATO,Rank,123
Dominican Republic,Central America,North America,Non-NATO,Rank,124
Senegal,Africa,Africa,Non-NATO,Rank,125
Nepal,Asia-Pacific,Asia,Non-NATO,Rank,126
Montenegro,Balkans,Europe,NATO,Rank,127
El Salvador,Central America,North America,Non-NATO,Rank,128
Burkina Faso,Africa,Africa,Non-NATO,Rank,129
Madagascar,Africa,Africa,Non-NATO,Rank,130
Nicaragua,Central America,North America,Non-NATO,Rank,131
Bosnia and Herzegovina,Balkans,Europe,Non-NATO,Rank,132
Gabon,Africa,Africa,Non-NATO,Rank,133
Moldova,Eastern Europe,Europe,Non-NATO,Rank,134
Iceland,Scandinavia,Europe,NATO,Rank,135
Panama,Central America,North America,Non-NATO,Rank,136
Beliz,Central America,North America,Non-NATO,Rank,137
Liberia,Africa,Africa,Non-NATO,Rank,138
Suriname,Northern South America,South America,Non-NATO,Rank,139
Sierra Leone,Africa,Africa,Non-NATO,Rank,140
Kosovo,Southern Europe,Europe,Non-NATO,Rank,141
Somalia,Africa,Africa,Non-NATO,Rank,142
Central African Republic,Africa,Africa,Non-NATO,Rank,143
Benin,Africa,Africa,Non-NATO,Rank,144
Bhutan,Asia,Asia,Non-NATO,Rank,145
United States,Northern America,North America,NATO,population,341963408
Russia,Eastern Europe,Europe,Non-NATO,population,140820810
China,Asia-Pacific,Asia,Non-NATO,population,1415043270
India,Asia-Pacific,Asia,Non-NATO,population,1409128296
South Korea,Asia-Pacific,Asia,Non-NATO,population,52081799
United Kingdom,Northern Europe,Europe,NATO,population,68459055
France,Western Europe,Europe,NATO,population,68374591
Japan,Asia-Pacific,Asia,Non-NATO,population,123201945
Turkiye,Middle East,Asia,NATO,population,84119531
Italy,Southern Europe,Europe,NATO,population,60964931
Brazil,Latin America,South America,Non-NATO,population,220051512
Pakistan,Asia-Pacific,Asia,Non-NATO,population,252363571
Indonesia,Southeast Asia,Asia,Non-NATO,population,281562465
Germany,Central Europe,Europe,NATO,population,84119100
Israel,Middle East,Asia,Non-NATO,population,9402617
Iran,Middle East,Asia,Non-NATO,population,88386937
Spain,Southern Europe,Europe,NATO,population,47280433
Australia,Asia-Pacific,Oceania,Non-NATO,population,26768598
Egypt,Africa,Africa,Non-NATO,population,111247248
Ukraine,Eastern Europe,Europe,Non-NATO,population,35661826
Poland,Eastern Europe,Europe,NATO,population,38746310
Taiwan,Asia-Pacific,Asia,Non-NATO,population,23595274
Vietnam,Southeast Asia,Asia,Non-NATO,population,105758975
Saudi Arabia,Middle East,Asia,Non-NATO,population,36544431
Thailand,Southeast Asia,Asia,Non-NATO,population,69920998
Algeria,Africa,Africa,Non-NATO,population,47022473
Sweden,Scandinavia,Europe,NATO,population,10589835
Canada,Northern America,North America,NATO,population,38794813
Singapore,Southeast Asia,Asia,Non-NATO,population,6028459
Greece,Southern Europe,Europe,NATO,population,10461091
Nigeria,Africa,Africa,Non-NATO,population,236747130
Mexico,Mexico,North America,Non-NATO,population,130739927
Argentina,Latin America,South America,Non-NATO,population,46994384
North Korea,Asia-Pacific,Asia,Non-NATO,population,26298666
Bangladesh,Asia-Pacific,Asia,Non-NATO,population,168697184
Netherlands,Western Europe,Europe,NATO,population,17772378
Myanmar,Southeast Asia,Asia,Non-NATO,population,57527139
Norway,Scandinavia,Europe,NATO,population,5509733
Portugal,Southern Europe,Europe,NATO,population,10639726
South Africa,Africa,Africa,Non-NATO,population,60442647
Philippines,Southeast Asia,Asia,Non-NATO,population,118277063
Malaysia,Southeast Asia,Asia,Non-NATO,population,34564810
Iraq,Middle East,Asia,Non-NATO,population,42083436
Switzerland,Central Europe,Europe,Non-NATO,population,8860574
Denmark,Scandinavia,Europe,NATO,population,5973136
Colombia,Latin America,South America,Non-NATO,population,49588357
Chile,Latin America,South America,Non-NATO,population,18664652
Finland,Scandinavia,Europe,NATO,population,5626414
Peru,Latin America,South America,Non-NATO,population,32600249
Venezuela,Latin America,South America,Non-NATO,population,31250306
Romania,Eastern Europe,Europe,Non-NATO,population,18148155
Ethiopia,Africa,Africa,Non-NATO,population,118550298
Czechia,Eastern Europe,Europe,NATO,population,10837890
United Arab Emirates,Middle East,Asia,Non-NATO,population,10032213
Hungary,Eastern Europe,Europe,NATO,population,9855745
Angola,Africa,Africa,Non-NATO,population,37202061
Kazakhstan,Asia,Asia,Non-NATO,population,20260006
Uzbekistan,Asia,Asia,Non-NATO,population,36520593
Morocco,Africa,Africa,Non-NATO,population,37387585
Azerbaijan,Asia,Asia,Non-NATO,population,10650239
Belgium,Western Europe,Europe,NATO,population,11977634
Bulgaria,Eastern Europe,Europe,NATO,population,6782659
Serbia,Balkans,Europe,Non-NATO,population,6652212
Syria,Middle East,Asia,Non-NATO,population,23865423
Ecuador,Latin America,South America,Non-NATO,population,18309984
Democratic Republic of the Congo,Africa,Africa,Non-NATO,population,115403027
Cuba,Central America,North America,Non-NATO,population,10966038
Austria,Central Europe,Europe,Non-NATO,population,8967982
Sri Lanka,Asia-Pacific,Asia,Non-NATO,population,21982608
Belarus,Eastern Europe,Europe,Non-NATO,population,9501451
Slovakia,Eastern Europe,Europe,NATO,population,5563649
Qatar,Middle East,Asia,Non-NATO,population,2552088
Sudan,Africa,Africa,Non-NATO,population,50467278
Croatia,Balkans,Europe,NATO,population,4150116
Jordan,Middle East,Asia,Non-NATO,population,11174024
Libya,Africa,Africa,Non-NATO,population,7361263
Turkmenistan,Asia,Asia,Non-NATO,population,5744151
Albania,Balkans,Europe,NATO,population,3107100
Kuwait,Gulf Powers,Asia,Non-NATO,population,3138355
Bolivia,Latin America,South America,Non-NATO,population,12311974
Bahrain,Gulf Powers,Asia,Non-NATO,population,1566888
Oman,Gulf Powers,Asia,Non-NATO,population,3901992
Kenya,Africa,Africa,Non-NATO,population,58246378
Chad,Africa,Africa,Non-NATO,population,19093595
Yemen,Middle East,Asia,Non-NATO,population,32140443
New Zealand,Asia-Pacific,Oceania,Non-NATO,population,5161211
Paraguay,Latin America,South America,Non-NATO,population,7522549
Lithuania,Northern Europe,Europe,NATO,population,2628186
Mozambique,Africa,Africa,Non-NATO,population,33350954
Tunisia,Africa,Africa,Non-NATO,population,12048847
Armenia,Asia,Asia,Non-NATO,population,2976765
Tanzania,Africa,Africa,Non-NATO,population,67462121
Cameroon,Africa,Africa,Non-NATO,population,30966105
Georgia,Asia,Asia,Non-NATO,population,4900961
Cambodia,Southeast Asia,Asia,Non-NATO,population,17063669
Slovenia,Balkans,Europe,NATO,population,2097893
Ireland,Northern Europe,Europe,Non-NATO,population,5233461
Mongolia,Asia-Pacific,Asia,Non-NATO,population,3281676
Latvia,Northern Europe,Europe,NATO,population,1801246
Uruguay,Latin America,South America,Non-NATO,population,3425330
Honduras,Central America,North America,Non-NATO,population,9529188
Ivory Coast,Africa,Africa,Non-NATO,population,29981758
Guatemala,Central America,North America,Non-NATO,population,18255216
Mali,Africa,Africa,Non-NATO,population,21990607
Kyrgyzstan,Asia,Asia,Non-NATO,population,6172101
Laos,Southeast Asia,Asia,Non-NATO,population,7953556
Estonia,Northern Europe,Europe,NATO,population,1193791
Tajikistan,Asia,Asia,Non-NATO,population,10394063
Zambia,Africa,Africa,Non-NATO,population,20799116
Ghana,Africa,Africa,Non-NATO,population,34589092
Zimbabwe,Africa,Africa,Non-NATO,population,17150352
North Macedonia,Balkans,Europe,Non-NATO,population,2135622
South Sudan,Africa,Africa,Non-NATO,population,12703714
Uganda,Africa,Africa,Non-NATO,population,49283041
Lebanon,Middle East,Asia,Non-NATO,population,5364482
Namibia,Africa,Africa,Non-NATO,population,2803660
Luxembourg,Western Europe,Europe,NATO,population,671254
Afghanistan,Asia,Asia,Non-NATO,population,40121552
Niger,Africa,Africa,Non-NATO,population,26342784
Eritrea,Africa,Africa,Non-NATO,population,6343956
Republic of the Congo,Africa,Africa,Non-NATO,population,6097665
Botswana,Africa,Africa,Non-NATO,population,2450668
Mauritania,Africa,Africa,Non-NATO,population,4328040
Dominican Republic,Central America,North America,Non-NATO,population,10815857
Senegal,Africa,Africa,Non-NATO,population,18847519
Nepal,Asia-Pacific,Asia,Non-NATO,population,31122387
Montenegro,Balkans,Europe,NATO,population,599849
El Salvador,Central America,North America,Non-NATO,population,6628702
Burkina Faso,Africa,Africa,Non-NATO,population,23042199
Madagascar,Africa,Africa,Non-NATO,population,29452714
Nicaragua,Central America,North America,Non-NATO,population,6676948
Bosnia and Herzegovina,Balkans,Europe,Non-NATO,population,3798671
Gabon,Africa,Africa,Non-NATO,population,2455105
Moldova,Eastern Europe,Europe,Non-NATO,population,3599528
Iceland,Scandinavia,Europe,NATO,population,364036
Panama,Central America,North America,Non-NATO,population,4470241
Beliz,Central America,North America,Non-NATO,population,415789
Liberia,Africa,Africa,Non-NATO,population,5437249
Suriname,Northern South America,South America,Non-NATO,population,646758
Sierra Leone,Africa,Africa,Non-NATO,population,9121049
Kosovo,Southern Europe,Europe,Non-NATO,population,1977093
Somalia,Africa,Africa,Non-NATO,population,13017273
Central African Republic,Africa,Africa,Non-NATO,population,5650957
Benin,Africa,Africa,Non-NATO,population,14697052
Bhutan,Asia,Asia,Non-NATO,population,884546
United States,Northern America,North America,NATO,available_military_manpower,150463900
Russia,Eastern Europe,Europe,Non-NATO,available_military_manpower,69002197
China,Asia-Pacific,Asia,Non-NATO,available_military_manpower,764123366
India,Asia-Pacific,Asia,Non-NATO,available_military_manpower,662290299
South Korea,Asia-Pacific,Asia,Non-NATO,available_military_manpower,26040900
United Kingdom,Northern Europe,Europe,NATO,available_military_manpower,31491165
France,Western Europe,Europe,NATO,available_military_manpower,30084820
Japan,Asia-Pacific,Asia,Non-NATO,available_military_manpower,52976836
Turkiye,Middle East,Asia,NATO,available_military_manpower,42985080
Italy,Southern Europe,Europe,NATO,available_military_manpower,27434219
Brazil,Latin America,South America,Non-NATO,available_military_manpower,112226271
Pakistan,Asia-Pacific,Asia,Non-NATO,available_military_manpower,108516336
Indonesia,Southeast Asia,Asia,Non-NATO,available_military_manpower,137965608
Germany,Central Europe,Europe,NATO,available_military_manpower,38694786
Israel,Middle East,Asia,Non-NATO,available_military_manpower,3949099
Iran,Middle East,Asia,Non-NATO,available_military_manpower,49496685
Spain,Southern Europe,Europe,NATO,available_military_manpower,21748999
Australia,Asia-Pacific,Oceania,Non-NATO,available_military_manpower,11242811
Egypt,Africa,Africa,Non-NATO,available_military_manpower,45611372
Ukraine,Eastern Europe,Europe,Non-NATO,available_military_manpower,18187531
Poland,Eastern Europe,Europe,NATO,available_military_manpower,18985692
Taiwan,Asia-Pacific,Asia,Non-NATO,available_military_manpower,12269542
Vietnam,Southeast Asia,Asia,Non-NATO,available_military_manpower,54994667
Saudi Arabia,Middle East,Asia,Non-NATO,available_military_manpower,19003104
Thailand,Southeast Asia,Asia,Non-NATO,available_military_manpower,36358919
Algeria,Africa,Africa,Non-NATO,available_military_manpower,22570787
Sweden,Scandinavia,Europe,NATO,available_military_manpower,4235934
Canada,Northern America,North America,NATO,available_military_manpower,16681770
Singapore,Southeast Asia,Asia,Non-NATO,available_military_manpower,3918498
Greece,Southern Europe,Europe,NATO,available_military_manpower,4916713
Nigeria,Africa,Africa,Non-NATO,available_military_manpower,125475979
Mexico,Mexico,North America,Non-NATO,available_military_manpower,61447766
Argentina,Latin America,South America,Non-NATO,available_military_manpower,20677529
North Korea,Asia-Pacific,Asia,Non-NATO,available_military_manpower,9467520
Bangladesh,Asia-Pacific,Asia,Non-NATO,available_military_manpower,82661620
Netherlands,Western Europe,Europe,NATO,available_military_manpower,7997570
Myanmar,Southeast Asia,Asia,Non-NATO,available_military_manpower,30489384
Norway,Scandinavia,Europe,NATO,available_military_manpower,2203893
Portugal,Southern Europe,Europe,NATO,available_military_manpower,5319863
South Africa,Africa,Africa,Non-NATO,available_military_manpower,27803618
Philippines,Southeast Asia,Asia,Non-NATO,available_military_manpower,50859137
Malaysia,Southeast Asia,Asia,Non-NATO,available_military_manpower,16245461
Iraq,Middle East,Asia,Non-NATO,available_military_manpower,17675043
Switzerland,Central Europe,Europe,Non-NATO,available_military_manpower,3898653
Denmark,Scandinavia,Europe,NATO,available_military_manpower,2628180
Colombia,Latin America,South America,Non-NATO,available_military_manpower,24298295
Chile,Latin America,South America,Non-NATO,available_military_manpower,8959033
Finland,Scandinavia,Europe,NATO,available_military_manpower,2306830
Peru,Latin America,South America,Non-NATO,available_military_manpower,15648120
Venezuela,Latin America,South America,Non-NATO,available_military_manpower,15625153
Romania,Eastern Europe,Europe,Non-NATO,available_military_manpower,9437041
Ethiopia,Africa,Africa,Non-NATO,available_military_manpower,56904143
Czechia,Eastern Europe,Europe,NATO,available_military_manpower,5093808
United Arab Emirates,Middle East,Asia,Non-NATO,available_military_manpower,5818684
Hungary,Eastern Europe,Europe,NATO,available_military_manpower,4632200
Angola,Africa,Africa,Non-NATO,available_military_manpower,7440412
Kazakhstan,Asia,Asia,Non-NATO,available_military_manpower,9117003
Uzbekistan,Asia,Asia,Non-NATO,available_military_manpower,18990708
Morocco,Africa,Africa,Non-NATO,available_military_manpower,17946041
Azerbaijan,Asia,Asia,Non-NATO,available_military_manpower,5218617
Belgium,Western Europe,Europe,NATO,available_military_manpower,4910830
Bulgaria,Eastern Europe,Europe,NATO,available_military_manpower,3187850
Serbia,Balkans,Europe,Non-NATO,available_military_manpower,3259584
Syria,Middle East,Asia,Non-NATO,available_military_manpower,15273871
Ecuador,Latin America,South America,Non-NATO,available_military_manpower,8422593
Democratic Republic of the Congo,Africa,Africa,Non-NATO,available_military_manpower,39237029
Cuba,Central America,North America,Non-NATO,available_military_manpower,5921661
Austria,Central Europe,Europe,Non-NATO,available_military_manpower,4035592
Sri Lanka,Asia-Pacific,Asia,Non-NATO,available_military_manpower,10551652
Belarus,Eastern Europe,Europe,Non-NATO,available_military_manpower,5035769
Slovakia,Eastern Europe,Europe,NATO,available_military_manpower,2837461
Qatar,Middle East,Asia,Non-NATO,available_military_manpower,638022
Sudan,Africa,Africa,Non-NATO,available_military_manpower,26747657
Croatia,Balkans,Europe,NATO,available_military_manpower,2033557
Jordan,Middle East,Asia,Non-NATO,available_military_manpower,3463947
Libya,Africa,Africa,Non-NATO,available_military_manpower,3827857
Turkmenistan,Asia,Asia,Non-NATO,available_military_manpower,2768681
Albania,Balkans,Europe,NATO,available_military_manpower,1522479
Kuwait,Gulf Powers,Asia,Non-NATO,available_military_manpower,1726095
Bolivia,Latin America,South America,Non-NATO,available_military_manpower,5417269
Bahrain,Gulf Powers,Asia,Non-NATO,available_military_manpower,846120
Oman,Gulf Powers,Asia,Non-NATO,available_military_manpower,1482757
Kenya,Africa,Africa,Non-NATO,available_military_manpower,21551160
Chad,Africa,Africa,Non-NATO,available_military_manpower,6873694
Yemen,Middle East,Asia,Non-NATO,available_military_manpower,12213368
New Zealand,Asia-Pacific,Oceania,Non-NATO,available_military_manpower,2219321
Paraguay,Latin America,South America,Non-NATO,available_military_manpower,3535598
Lithuania,Northern Europe,Europe,NATO,available_military_manpower,1708321
Mozambique,Africa,Africa,Non-NATO,available_military_manpower,14674420
Tunisia,Africa,Africa,Non-NATO,available_military_manpower,6024424
Armenia,Asia,Asia,Non-NATO,available_military_manpower,1666988
Tanzania,Africa,Africa,Non-NATO,available_military_manpower,12143182
Cameroon,Africa,Africa,Non-NATO,available_military_manpower,10528476
Georgia,Asia,Asia,Non-NATO,available_military_manpower,2744538
Cambodia,Southeast Asia,Asia,Non-NATO,available_military_manpower,8190561
Slovenia,Balkans,Europe,NATO,available_military_manpower,1006989
Ireland,Northern Europe,Europe,Non-NATO,available_military_manpower,2407392
Mongolia,Asia-Pacific,Asia,Non-NATO,available_military_manpower,1870555
Latvia,Northern Europe,Europe,NATO,available_military_manpower,810561
Uruguay,Latin America,South America,Non-NATO,available_military_manpower,1575652
Honduras,Central America,North America,Non-NATO,available_military_manpower,4192843
Ivory Coast,Africa,Africa,Non-NATO,available_military_manpower,12292521
Guatemala,Central America,North America,Non-NATO,available_military_manpower,7484639
Mali,Africa,Africa,Non-NATO,available_military_manpower,6817088
Kyrgyzstan,Asia,Asia,Non-NATO,available_military_manpower,3147772
Laos,Southeast Asia,Asia,Non-NATO,available_military_manpower,3499565
Estonia,Northern Europe,Europe,NATO,available_military_manpower,584958
Tajikistan,Asia,Asia,Non-NATO,available_military_manpower,4781269
Zambia,Africa,Africa,Non-NATO,available_military_manpower,7279691
Ghana,Africa,Africa,Non-NATO,available_military_manpower,14873310
Zimbabwe,Africa,Africa,Non-NATO,available_military_manpower,6517134
North Macedonia,Balkans,Europe,Non-NATO,available_military_manpower,948216
South Sudan,Africa,Africa,Non-NATO,available_military_manpower,6351857
Uganda,Africa,Africa,Non-NATO,available_military_manpower,16756234
Lebanon,Middle East,Asia,Non-NATO,available_military_manpower,2092148
Namibia,Africa,Africa,Non-NATO,available_military_manpower,616805
Luxembourg,Western Europe,Europe,NATO,available_military_manpower,154388
Afghanistan,Asia,Asia,Non-NATO,available_military_manpower,15647405
Niger,Africa,Africa,Non-NATO,available_military_manpower,7902835
Eritrea,Africa,Africa,Non-NATO,available_military_manpower,2220385
Republic of the Congo,Africa,Africa,Non-NATO,available_military_manpower,2256136
Botswana,Africa,Africa,Non-NATO,available_military_manpower,1029281
Mauritania,Africa,Africa,Non-NATO,available_military_manpower,1687936
Dominican Republic,Central America,North America,Non-NATO,available_military_manpower,4975294
Senegal,Africa,Africa,Non-NATO,available_military_manpower,7162057
Nepal,Asia-Pacific,Asia,Non-NATO,available_military_manpower,15249970
Montenegro,Balkans,Europe,NATO,available_military_manpower,143964
El Salvador,Central America,North America,Non-NATO,available_military_manpower,3181777
Burkina Faso,Africa,Africa,Non-NATO,available_military_manpower,8525614
Madagascar,Africa,Africa,Non-NATO,available_military_manpower,11192031
Nicaragua,Central America,North America,Non-NATO,available_military_manpower,3271705
Bosnia and Herzegovina,Balkans,Europe,Non-NATO,available_military_manpower,2355176
Gabon,Africa,Africa,Non-NATO,available_military_manpower,932940
Moldova,Eastern Europe,Europe,Non-NATO,available_military_manpower,2159717
Iceland,Scandinavia,Europe,NATO,available_military_manpower,83728
Panama,Central America,North America,Non-NATO,available_military_manpower,2011608
Beliz,Central America,North America,Non-NATO,available_military_manpower,158000
Liberia,Africa,Africa,Non-NATO,available_military_manpower,2392390
Suriname,Northern South America,South America,Non-NATO,available_military_manpower,142287
Sierra Leone,Africa,Africa,Non-NATO,available_military_manpower,2006631
Kosovo,Southern Europe,Europe,Non-NATO,available_military_manpower,917371
Somalia,Africa,Africa,Non-NATO,available_military_manpower,2993973
Central African Republic,Africa,Africa,Non-NATO,available_military_manpower,2203873
Benin,Africa,Africa,Non-NATO,available_military_manpower,5584880
Bhutan,Asia,Asia,Non-NATO,available_military_manpower,203446
United States,Northern America,North America,NATO,manpower_fit_for_military_service,124816644
Russia,Eastern Europe,Europe,Non-NATO,manpower_fit_for_military_service,46189226
China,Asia-Pacific,Asia,Non-NATO,manpower_fit_for_military_service,626864169
India,Asia-Pacific,Asia,Non-NATO,manpower_fit_for_military_service,522786598
South Korea,Asia-Pacific,Asia,Non-NATO,manpower_fit_for_military_service,21353538
United Kingdom,Northern Europe,Europe,NATO,manpower_fit_for_military_service,25192932
France,Western Europe,Europe,NATO,manpower_fit_for_military_service,23794358
Japan,Asia-Pacific,Asia,Non-NATO,manpower_fit_for_military_service,42874277
Turkiye,Middle East,Asia,NATO,manpower_fit_for_military_service,36087279
Italy,Southern Europe,Europe,NATO,manpower_fit_for_military_service,22191235
Brazil,Latin America,South America,Non-NATO,manpower_fit_for_military_service,88680759
Pakistan,Asia-Pacific,Asia,Non-NATO,manpower_fit_for_military_service,85803614
Indonesia,Southeast Asia,Asia,Non-NATO,manpower_fit_for_military_service,114595923
Germany,Central Europe,Europe,NATO,manpower_fit_for_military_service,30955829
Israel,Middle East,Asia,Non-NATO,manpower_fit_for_military_service,3281513
Iran,Middle East,Asia,Non-NATO,manpower_fit_for_military_service,41541860
Spain,Southern Europe,Europe,NATO,manpower_fit_for_military_service,17635602
Australia,Asia-Pacific,Oceania,Non-NATO,manpower_fit_for_military_service,9208398
Egypt,Africa,Africa,Non-NATO,manpower_fit_for_military_service,38269053
Ukraine,Eastern Europe,Europe,Non-NATO,manpower_fit_for_military_service,12731272
Poland,Eastern Europe,Europe,NATO,manpower_fit_for_military_service,15576017
Taiwan,Asia-Pacific,Asia,Non-NATO,manpower_fit_for_military_service,1061787
Vietnam,Southeast Asia,Asia,Non-NATO,manpower_fit_for_military_service,45053323
Saudi Arabia,Middle East,Asia,Non-NATO,manpower_fit_for_military_service,17468238
Thailand,Southeast Asia,Asia,Non-NATO,manpower_fit_for_military_service,27968399
Algeria,Africa,Africa,Non-NATO,manpower_fit_for_military_service,19185169
Sweden,Scandinavia,Europe,NATO,manpower_fit_for_military_service,3558185
Canada,Northern America,North America,NATO,manpower_fit_for_military_service,13500595
Singapore,Southeast Asia,Asia,Non-NATO,manpower_fit_for_military_service,2628408
