Country,total-population-by-country,available-military-manpower,manpower-fit-for-military-service,manpower-reaching-military-age-annually,active-military-manpower,active-reserve-military-manpower,manpower-paramilitary,aircraft-total,aircraft-total-fighters,aircraft-total-attack-types,aircraft-total-transports,aircraft-total-trainers,aircraft-total-special-mission,aircraft-total-tanker-fleet,aircraft-helicopters-total,aircraft-helicopters-attack,armor-tanks-total,armor-apc-total,armor-self-propelled-guns-total,armor-towed-artillery-total,armor-mlrs-total,navy-ships,navy-force-by-tonnage,navy-aircraft-carriers,navy-helo-carriers,navy-submarines,navy-destroyers,navy-frigates,navy-corvettes,navy-patrol-coastal-craft,navy-mine-warfare-craft,defense-spending-budget,external-debt-by-country,purchasing-power-parity,reserves-of-foreign-exchange-and-gold,major-serviceable-airports-by-country,labor-force-by-country,major-ports-and-terminals,railway-coverage,roadway-coverage,oil-production-by-country,oil-consumption-by-country,proven-oil-reserves-by-country,natural-gas-production-by-country,natural-gas-consumption-by-country,proven-natural-gas-reserves-by-country,coal-production-by-country,coal-consumption-by-country,proven-coal-reserves-by-country,square-land-area,coastline-coverage,border-coverage,waterway-coverage,Capital,Captal Population,power_index_rank
Belarus,9501451,5035769,3724569,104516,63000,145000,55000,185,36,50,4,27,0,0,68,29,507,6916,357,215,206,0,,0,0,0,0,0,0,0,0,$                        							1077900000,$                        							44000000000,$                        							254407000000,$                        							8118000000,46,4956000,0,"5528                        						
							km","86600                        						
							km","30000                        						
							bbl","131000                        						
							bbl","198000000                        						
							bbl","73929000                        						
							Cu.M","16683000000                        						
							Cu.M","2832000000                        						
							Cu.M","0                        						
							Cu.M","778000                        						
							mt","0                        						
							Cu.M","207600                        						
							km","0                        						
							km","3599                        						
							km","2500                        						
							km",Niamey,"1,437,000",70
Israel,9402617,3949099,3281513,131637,170000,465000,35000,611,240,38,13,159,19,14,147,48,1300,35985,352,171,183,62,38238,0,0,5,0,0,7,46,0,$                        							30500000000,$                        							148500000000,$                        							471030000000,$                        							204661000000,37,4554000,5,"1497                        						
							km","20391                        						
							km","15000                        						
							bbl","230000                        						
							bbl","12730000                        						
							bbl","22886000000                        						
							Cu.M","11510000000                        						
							Cu.M","176018000000                        						
							Cu.M","0                        						
							Cu.M","6476000                        						
							mt","0                        						
							Cu.M","21937                        						
							km","273                        						
							km","1068                        						
							km","0                        						
							km",Ottawa,"1,423,000",15
Sierra Leone,9121049,2006631,1203978,45605,13000,0,0,1,0,0,0,0,0,0,1,0,0,150,0,0,0,7,,0,0,0,0,0,0,7,0,$                        							228600000,$                        							2687000000,$                        							14633000000,$                        							495699000,8,2913000,3,"0                        						
							km","11701                        						
							km","0                        						
							bbl","9000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","71740                        						
							km","402                        						
							km","1093                        						
							km","800                        						
							km",Belgrade,"1,408,000",140
Austria,8967982,4035592,3632033,98648,16000,125600,0,85,15,0,11,18,0,0,41,0,56,7322,30,0,0,0,,0,0,0,0,0,0,0,0,$                        							5475750000,$                        							630000000000,$                        							590354000000,$                        							31212000000,61,4825000,0,"6123                        						
							km","137039                        						
							km","18000                        						
							bbl","245000                        						
							bbl","35200000                        						
							bbl","618209000                        						
							Cu.M","8136000000                        						
							Cu.M","5040000000                        						
							Cu.M","1271000                        						
							Cu.M","5026000                        						
							mt","0                        						
							Cu.M","83871                        						
							km","0                        						
							km","2524                        						
							km","358                        						
							km",Copenhagen,"1,370,000",68
Switzerland,8860574,3898653,3163225,97466,101584,49715,5000,146,43,0,16,44,3,0,40,0,205,6996,133,0,0,0,,0,0,0,0,0,0,0,0,$                        							25039000000,$                        							2200000000000,$                        							733779000000,$                        							863892000000,62,4991000,0,"5296                        						
							km","71557                        						
							km","300                        						
							bbl","193000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","3138000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","161000                        						
							mt","0                        						
							Cu.M","41277                        						
							km","0                        						
							km","1770                        						
							km","1292                        						
							km",Helsinki,"1,328,000",44
Laos,7953556,3499565,2521277,159071,100000,30000,120000,33,0,0,2,8,0,0,23,0,160,4380,40,87,64,36,,0,0,0,0,0,0,36,0,$                        							135000000,$                        							16500000000,$                        							64173000000,$                        							1770000000,18,3174000,0,"422                        						
							km","39568                        						
							km","0                        						
							bbl","24000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","14845000                        						
							Cu.M","13691000                        						
							mt","62000000                        						
							Cu.M","236800                        						
							km","0                        						
							km","5274                        						
							km","4600                        						
							km",Prague,"1,318,000",106
Paraguay,7522549,3535598,3001497,150451,15650,168500,15000,39,0,0,11,13,1,0,14,0,0,1108,0,25,0,72,,0,0,0,0,0,0,63,0,$                        							17595000000,$                        							14370000000,$                        							108022000000,$                        							9886000000,83,3469000,1,"30                        						
							km","78811                        						
							km","2000                        						
							bbl","57000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","1000                        						
							mt","0                        						
							Cu.M","406752                        						
							km","0                        						
							km","4655                        						
							km","3100                        						
							km",Freetown,"1,309,000",87
Libya,7361263,3827857,3290485,125141,32000,0,100000,143,10,1,6,38,0,0,16,4,43,1816,15,28,25,5,,0,0,0,0,0,1,1,1,$                        							3060000000,$                        							3322000000,$                        							121951000000,$                        							92427000000,66,2398000,14,"2000                        						
							km","37000                        						
							km","1245000                        						
							bbl","230000                        						
							bbl","48363000000                        						
							bbl","11832000000                        						
							Cu.M","9212000000                        						
							Cu.M","1505000000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1759540                        						
							km","1770                        						
							km","4339                        						
							km","0                        						
							km",Sofia,"1,287,000",76
Bulgaria,6782659,3187850,2611324,61044,37000,3000,0,65,10,5,6,21,0,0,27,4,90,4914,48,24,24,36,,0,0,0,0,4,3,0,10,$                        							1373232000,$                        							27138500000,$                        							214061000000,$                        							46334000000,111,3103000,2,"4029                        						
							km","19512                        						
							km","4000                        						
							bbl","101000                        						
							bbl","15000000                        						
							bbl","20837000                        						
							Cu.M","2801000000                        						
							Cu.M","5663000000                        						
							Cu.M","35516000                        						
							Cu.M","35970000                        						
							mt","2366000000                        						
							Cu.M","110880                        						
							km","354                        						
							km","1806                        						
							km","470                        						
							km",Dublin,"1,256,000",62
Nicaragua,6676948,3271705,2777610,146893,45000,0,5500,17,0,0,5,1,0,0,11,0,89,1869,0,0,0,23,,0,0,0,0,0,0,23,0,$                        							92000000,$                        							9053000000,$                        							51088000000,$                        							5447000000,39,3264000,5,"0                        						
							km","23897                        						
							km","200                        						
							bbl","36000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","130370                        						
							km","910                        						
							km","1253                        						
							km","2220                        						
							km",Nur-Sultan,"1,254,000",131
Serbia,6652212,3259584,2574406,79827,25000,2000,600000,110,11,17,3,33,0,0,46,4,262,3683,90,150,98,20,,0,0,0,0,0,0,7,5,$                        							2287461000,$                        							35200000000,$                        							162213000000,$                        							27569000000,43,3333000,0,"3333                        						
							km","44248                        						
							km","13000                        						
							bbl","82000                        						
							bbl","77500000                        						
							bbl","353376000                        						
							Cu.M","2939000000                        						
							Cu.M","48139000000                        						
							Cu.M","35129000                        						
							Cu.M","38297000                        						
							mt","7514000000                        						
							Cu.M","77474                        						
							km","0                        						
							km","2322                        						
							km","587                        						
							km",Islamabad,"1,232,000",63
El Salvador,6628702,3181777,2512278,145831,25000,10000,15000,52,0,15,4,10,0,0,30,0,0,1844,0,76,0,14,,0,0,0,0,0,0,10,0,$                        							334620000,$                        							14258000000,$                        							71957000000,$                        							3799434000,27,2870000,3,"13                        						
							km","9012                        						
							km","3                        						
							bbl","58000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","226472                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","500                        						
							mt","0                        						
							Cu.M","21041                        						
							km","307                        						
							km","590                        						
							km","422                        						
							km",Tripoli,"1,176,000",128
Eritrea,6343956,2220385,1598677,76127,120000,130000,0,20,1,0,5,1,0,0,13,6,65,860,23,75,22,23,,0,0,0,0,0,0,18,0,$                        							198000000,$                        							635504500,$                        							9702000000,$                        							225014976,10,1800000,2,"306                        						
							km","16000                        						
							km","0                        						
							bbl","4000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","117600                        						
							km","2234                        						
							km","1840                        						
							km","0                        						
							km",Amsterdam,"1,174,000",120
Kyrgyzstan,6172101,3147772,2487357,117270,23000,300000,55000,7,0,0,0,0,0,0,7,2,215,2686,30,169,21,0,,0,0,0,0,0,0,0,0,$                        							221800000,$                        							6728500000,$                        							45461000000,$                        							3237000000,28,3069000,0,"424                        						
							km","34000                        						
							km","6000                        						
							bbl","31000                        						
							bbl","40000000                        						
							bbl","31026000                        						
							Cu.M","438000000                        						
							Cu.M","5663000000                        						
							Cu.M","3637000                        						
							Cu.M","3352000                        						
							mt","28499000000                        						
							Cu.M","199951                        						
							km","0                        						
							km","4573                        						
							km","576                        						
							km",Maputo,"1,163,000",105
Republic of the Congo,6097665,2256136,1353682,115856,8500,0,2500,13,2,0,4,0,0,0,7,1,30,644,2,38,30,4,,0,0,0,0,0,0,0,0,$                        							306400000,$                        							5741000000,$                        							38163000000,$                        							715391000,56,2461000,5,"510                        						
							km","23324                        						
							km","267000                        						
							bbl","12000                        						
							bbl","2885000000                        						
							bbl","423000000                        						
							Cu.M","423000000                        						
							Cu.M","283990000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","342000                        						
							km","169                        						
							km","5008                        						
							km","1120                        						
							km",San Salvador,"1,111,000",121
Singapore,6028459,3918498,2628408,66313,51000,252500,12000,230,100,0,9,36,9,11,70,18,170,8998,48,89,24,50,81340,0,0,6,0,6,6,12,4,$                        							15000000000,$                        							1713410600000,$                        							754758000000,$                        							359835000000,9,3619000,5,"0                        						
							km","3500                        						
							km","0                        						
							bbl","1470000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","13724000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","784000                        						
							mt","0                        						
							Cu.M","719                        						
							km","193                        						
							km","0                        						
							km","0                        						
							km",Managua,"1,095,000",29
Denmark,5973136,2628180,2126436,77651,20000,12000,51000,117,31,4,4,41,3,0,34,0,44,3856,19,0,8,50,121180,0,0,0,0,9,0,9,6,$                        							7225466250,$                        							555500000000,$                        							428385000000,$                        							109371000000,99,3180000,69,"2682                        						
							km","74558                        						
							km","63000                        						
							bbl","152000                        						
							bbl","441000000                        						
							bbl","1879000000                        						
							Cu.M","2208000000                        						
							Cu.M","29534000000                        						
							Cu.M","0                        						
							Cu.M","1788000                        						
							mt","0                        						
							Cu.M","43094                        						
							km","7314                        						
							km","140                        						
							km","400                        						
							km",Yerevan,"1,092,000",45
Turkmenistan,5744151,2768681,2245963,109139,36500,0,3500,91,24,27,5,9,0,0,26,10,654,5016,73,450,164,16,,0,0,0,0,0,0,16,0,$                        							1078020000,$                        							2134500000,$                        							94790000000,$                        							23415400000,23,2163000,0,"5113                        						
							km","58592                        						
							km","272000                        						
							bbl","152000                        						
							bbl","600000000                        						
							bbl","86472000000                        						
							Cu.M","41561000000                        						
							Cu.M","11327000000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","800000000                        						
							Cu.M","488100                        						
							km","1768                        						
							km","4158                        						
							km","1300                        						
							km",Oslo,"1,086,000",77
Central African Republic,5650957,2203873,1254512,101717,10000,0,1000,6,0,6,0,0,0,0,0,0,0,228,0,0,0,0,,0,0,0,0,0,0,0,0,$                        							45990000,$                        							666293000,$                        							5849000000,$                        							374405000,43,2114000,0,"0                        						
							km","24000                        						
							km","0                        						
							bbl","2000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","3000000                        						
							Cu.M","622984                        						
							km","0                        						
							km","5920                        						
							km","2800                        						
							km",Bishkek,"1,082,000",143
Finland,5626414,2306830,1912981,56264,24000,870000,53800,163,54,0,11,77,1,0,27,0,200,11704,107,667,76,264,19434,0,0,0,0,0,0,8,18,$                        							6779661000,$                        							660000000000,$                        							321126000000,$                        							16929000000,98,2880000,37,"5918                        						
							km","454000                        						
							km","8000                        						
							bbl","175000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","1157000000                        						
							Cu.M","0                        						
							Cu.M","808000                        						
							Cu.M","4141000                        						
							mt","0                        						
							Cu.M","338145                        						
							km","1250                        						
							km","2563                        						
							km","8000                        						
							km",Tblisi,"1,080,000",48
Slovakia,5563649,2837461,2353424,61200,19500,0,0,41,2,0,7,9,1,0,22,0,45,3074,35,9,25,0,,0,0,0,0,0,0,0,0,$                        							2656000000,$                        							127600000000,$                        							213053000000,$                        							11288000000,114,2823000,0,"3627                        						
							km","56926                        						
							km","7000                        						
							bbl","94000                        						
							bbl","9000000                        						
							bbl","52556000                        						
							Cu.M","60424000                        						
							Cu.M","14158000000                        						
							Cu.M","2343000                        						
							Cu.M","5794000                        						
							mt","19000000                        						
							Cu.M","49035                        						
							km","0                        						
							km","1587                        						
							km","172                        						
							km",Asmara,"1,035,000",71
Norway,5509733,2203893,1807192,71627,23250,0,40000,97,0,32,4,23,5,0,33,0,44,6552,42,0,0,43,65692,0,0,6,0,4,6,18,5,$                        							9710000000,$                        							716144000000,$                        							499528000000,$                        							80459000000,145,3009000,141,"3848                        						
							km","94902                        						
							km","2020000                        						
							bbl","229000                        						
							bbl","8122200000                        						
							bbl","123727000000                        						
							Cu.M","4548000000                        						
							Cu.M","1544455000000                        						
							Cu.M","117000                        						
							Cu.M","1201000                        						
							mt","2000000                        						
							Cu.M","323802                        						
							km","25148                        						
							km","2566                        						
							km","1577                        						
							km",Dushanbe,"987,000",38
Liberia,5437249,2392390,1913912,65247,1500,0,5500,0,0,0,0,0,0,0,0,0,0,300,0,0,0,4,,0,0,0,0,0,0,4,0,$                        							364800000,$                        							830923000,$                        							8884000000,$                        							599660000,99,2499000,4,"429                        						
							km","10600                        						
							km","0                        						
							bbl","4000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","111369                        						
							km","579                        						
							km","1667                        						
							km","0                        						
							km",Jerusalem,"970,000",138
Lebanon,5364482,2092148,1775644,69738,60000,35000,65000,80,0,9,0,9,0,0,68,0,116,4538,12,353,11,64,,0,0,0,0,0,0,61,0,$                        							768250325,$                        							36928000000,$                        							65818000000,$                        							26498095000,8,1771000,5,"401                        						
							km","21705                        						
							km","0                        						
							bbl","174000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","207000                        						
							mt","0                        						
							Cu.M","10400                        						
							km","225                        						
							km","484                        						
							km","0                        						
							km",Bangui,"933,000",115
Ireland,5233461,2407392,1999182,57568,7765,1700,0,22,0,0,4,8,2,0,8,0,0,1712,0,0,0,8,,0,0,0,0,0,0,8,0,$                        							1500000000,$                        							3300000000000,$                        							608463000000,$                        							12905000000,100,2766000,21,"1688                        						
							km","99830                        						
							km","600                        						
							bbl","156000                        						
							bbl","0                        						
							bbl","1447000000                        						
							Cu.M","5280000000                        						
							Cu.M","9911000000                        						
							Cu.M","0                        						
							Cu.M","1322000                        						
							mt","40000000                        						
							Cu.M","70273                        						
							km","1448                        						
							km","443                        						
							km","956                        						
							km",Ashgabat,"902,000",97
New Zealand,5161211,2219321,1775457,61935,8670,3250,300,48,0,0,8,13,6,0,21,0,0,2114,0,31,0,8,,0,0,0,0,2,0,4,0,$                        							3030000000,$                        							209683100000,$                        							254770000000,$                        							15487000000,202,3068000,22,"4128                        						
							km","94000                        						
							km","12000                        						
							bbl","154000                        						
							bbl","40993000                        						
							bbl","3770000000                        						
							Cu.M","3819000000                        						
							Cu.M","31149000000                        						
							Cu.M","3036000                        						
							Cu.M","2441000                        						
							mt","7575000000                        						
							Cu.M","268838                        						
							km","15134                        						
							km","0                        						
							km","0                        						
							km",Libreville,"857,000",86
Georgia,4900961,2744538,2225036,93118,55000,152500,0,61,0,5,2,10,0,0,44,11,123,3392,67,121,42,19,,0,0,0,0,0,0,31,4,$                        							495629055,$                        							13488000000,$                        							83656000000,$                        							5002000000,19,1853000,3,"1363                        						
							km","20295                        						
							km","300                        						
							bbl","32000                        						
							bbl","35000000                        						
							bbl","8760000                        						
							Cu.M","2796000000                        						
							Cu.M","8495000000                        						
							Cu.M","256000                        						
							Cu.M","516000                        						
							mt","900999000                        						
							Cu.M","69700                        						
							km","310                        						
							km","1814                        						
							km","0                        						
							km",Vientiane,"706,000",94
Panama,4470241,2011608,1206965,53643,0,0,80000,38,0,0,13,0,2,0,23,0,0,262,0,0,0,30,,0,0,0,0,0,0,27,0,$                        							917202000,$                        							1115532300000,$                        							159867000000,$                        							6757000000,76,2096000,12,"77                        						
							km","11978                        						
							km","0                        						
							bbl","146000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","389611000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","837000                        						
							mt","0                        						
							Cu.M","75420                        						
							km","2490                        						
							km","687                        						
							km","800                        						
							km",Manama,"689,000",136
Mauritania,4328040,1687936,1181555,82233,31540,66000,5000,24,0,4,7,7,2,0,4,0,25,628,0,75,0,6,,0,0,0,0,0,0,6,0,$                        							261250000,$                        							3661000000,$                        							30395000000,$                        							2629290500,25,1179000,2,"728                        						
							km","12253                        						
							km","0                        						
							bbl","29000                        						
							bbl","20000000                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","28317000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","1030700                        						
							km","754                        						
							km","5002                        						
							km","1086                        						
							km",Zagreb,"684,000",123
Croatia,4150116,2033557,1564594,53952,14325,20100,2000,67,10,0,0,28,0,0,37,0,45,2848,25,42,42,30,,0,0,0,0,0,0,10,1,$                        							1176000000,$                        							55000000000,$                        							159305000000,$                        							3176000000,40,1744000,16,"2617                        						
							km","26958                        						
							km","11000                        						
							bbl","70000                        						
							bbl","71000000                        						
							bbl","741456000                        						
							Cu.M","2502000000                        						
							Cu.M","24919000000                        						
							Cu.M","0                        						
							Cu.M","702000                        						
							mt","0                        						
							Cu.M","56594                        						
							km","5835                        						
							km","2237                        						
							km","4714                        						
							km",Doha,"658,000",74
Oman,3901992,1482757,1291559,50726,42600,100000,10000,128,29,10,9,45,4,0,31,0,150,4084,24,140,0,22,,0,0,0,0,0,5,12,0,$                        							8200000000,$                        							50897000000,$                        							185960000000,$                        							17455000000,36,2316000,7,"0                        						
							km","60230                        						
							km","1056000                        						
							bbl","211000                        						
							bbl","5375000000                        						
							bbl","40754000000                        						
							Cu.M","27364000000                        						
							Cu.M","651287000000                        						
							Cu.M","0                        						
							Cu.M","31000                        						
							mt","0                        						
							Cu.M","309500                        						
							km","2092                        						
							km","1561                        						
							km","0                        						
							km",Colombo,"633,000",82
Bosnia and Herzegovina,3798671,2355176,1956316,49383,12770,6000,0,22,0,0,0,0,0,0,22,0,45,720,0,457,79,0,,0,0,0,0,0,0,0,0,$                        							216400000,$                        							7760500000,$                        							63769000000,$                        							9205000000,13,1369000,1,"965                        						
							km","22926                        						
							km","0                        						
							bbl","36000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","225824000                        						
							Cu.M","0                        						
							Cu.M","14114000                        						
							Cu.M","14766000                        						
							mt","2264000000                        						
							Cu.M","51197                        						
							km","20                        						
							km","1543                        						
							km","990                        						
							km",Riga,"625,000",132
Moldova,3599528,2159717,1792565,71991,8500,67000,2000,3,0,0,1,0,0,0,2,0,0,500,9,67,11,0,,0,0,0,0,0,0,0,0,$                        							1710000000,$                        							4565500000,$                        							38969000000,$                        							5453000000,11,1464000,0,"1171                        						
							km","9352                        						
							km","0                        						
							bbl","22000                        						
							bbl","0                        						
							bbl","10000                        						
							Cu.M","2344000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","120000                        						
							mt","0                        						
							Cu.M","33851                        						
							km","0                        						
							km","1885                        						
							km","558                        						
							km",Skopje,"611,000",134
Uruguay,3425330,1575652,1322177,54805,25000,0,5000,43,0,6,6,12,5,2,12,0,31,3042,6,70,4,14,,0,0,0,0,0,0,2,2,$                        							772400000,$                        							49500000000,$                        							105096000000,$                        							16257000000,64,1775000,8,"1673                        						
							km","77732                        						
							km","400                        						
							bbl","52000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","86037000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","18000                        						
							mt","0                        						
							Cu.M","176215                        						
							km","660                        						
							km","1591                        						
							km","1600                        						
							km",Vilnius,"541,000",100
Mongolia,3281676,1870555,1552233,62352,35000,135000,50000,7,0,0,3,2,0,0,2,0,420,2560,0,500,130,0,,0,0,0,0,0,0,0,0,$                        							165110000,$                        							19542500000,$                        							56264000000,$                        							4782000000,35,1403000,0,"1815                        						
							km","113200                        						
							km","15000                        						
							bbl","36000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","28276000                        						
							Cu.M","6393000                        						
							mt","2520000000                        						
							Cu.M","1564116                        						
							km","0                        						
							km","8082                        						
							km","580                        						
							km",Tirana,"512,000",98
Kuwait,3138355,1726095,1449920,37660,72000,24000,7500,128,43,0,2,13,0,3,67,16,367,5636,74,0,27,123,,0,0,0,0,0,0,106,0,$                        							6950000000,$                        							55000000000,$                        							219060000000,$                        							52619000000,6,2463000,6,"0                        						
							km","5749                        						
							km","2910000                        						
							bbl","372000                        						
							bbl","101500000000                        						
							bbl","19285000000                        						
							Cu.M","26083000000                        						
							Cu.M","1784000000000                        						
							Cu.M","0                        						
							Cu.M","145000                        						
							mt","0                        						
							Cu.M","17818                        						
							km","499                        						
							km","475                        						
							km","0                        						
							km",Chisinau,"488,000",79
Albania,3107100,1522479,1292554,62142,6600,2000,500,19,0,0,0,0,0,0,19,0,46,1796,0,50,135,19,,0,0,0,0,0,0,19,0,$                        							558862420,$                        							7312000000,$                        							49592000000,$                        							6455000000,3,1388000,3,"424                        						
							km","3945                        						
							km","1400                        						
							bbl","2600                        						
							bbl","150000000                        						
							bbl","50623000                        						
							Cu.M","50623000                        						
							Cu.M","5692000000                        						
							Cu.M","379000                        						
							Cu.M","389000                        						
							mt","522000000                        						
							Cu.M","28748                        						
							km","362                        						
							km","691                        						
							km","41                        						
							km",Windhoek,"477,000",78
Armenia,2976765,1666988,1366335,44651,57500,210000,5000,71,4,15,3,13,0,0,36,20,109,1306,145,148,100,0,,0,0,0,0,0,0,0,0,$                        							1700000000,$                        							9014000000,$                        							57728000000,$                        							3607000000,11,1356000,0,"686                        						
							km","7700                        						
							km","0                        						
							bbl","14000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","2861000000                        						
							Cu.M","0                        						
							Cu.M","60                        						
							Cu.M","23000                        						
							mt","317000000                        						
							Cu.M","29743                        						
							km","0                        						
							km","1570                        						
							km","0                        						
							km",Canberra,"467,000",91
Namibia,2803660,616805,400923,30840,13000,0,5000,34,11,0,3,14,0,0,7,2,4,2094,0,25,25,15,,0,0,0,0,0,2,12,0,$                        							370500000,$                        							8800000000,$                        							29944000000,$                        							2956000000,255,989000,2,"2628                        						
							km","48875                        						
							km","0                        						
							bbl","25000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","62297000000                        						
							Cu.M","0                        						
							Cu.M","32000                        						
							mt","350000000                        						
							Cu.M","824292                        						
							km","1572                        						
							km","4220                        						
							km","0                        						
							km",Juba,"459,000",116
Lithuania,2628186,1708321,1332490,36795,23000,104000,14150,9,0,0,5,0,0,0,4,0,0,1263,21,54,0,14,,0,0,0,0,0,0,7,4,$                        							2388900000,$                        							44000000000,$                        							132712000000,$                        							6168000000,65,1510000,2,"1911                        						
							km","84166                        						
							km","4000                        						
							bbl","68000                        						
							bbl","12000000                        						
							bbl","0                        						
							Cu.M","1601000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","263000                        						
							mt","0                        						
							Cu.M","65300                        						
							km","90                        						
							km","1545                        						
							km","441                        						
							km",Tallinn,"452,000",88
Qatar,2552088,638022,490001,12760,66550,15000,5500,251,102,6,12,51,0,0,80,24,99,5024,46,12,16,115,,0,0,0,0,0,4,105,0,$                        							9432000000,$                        							187000000000,$                        							304973000000,$                        							51539000000,8,2035000,6,"0                        						
							km","7039                        						
							km","1815000                        						
							bbl","297000                        						
							bbl","25244000                        						
							bbl","169595000000                        						
							Cu.M","41515000000                        						
							Cu.M","23861000000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","11586                        						
							km","563                        						
							km","87                        						
							km","0                        						
							km",Bratislava,"441,000",72
Gabon,2455105,932940,532758,46647,4800,0,2500,24,6,0,3,0,0,0,15,0,0,424,0,0,14,5,,0,0,0,0,0,0,4,0,$                        							274820000,$                        							6280000000,$                        							48201000000,$                        							1568196000,40,763000,9,"649                        						
							km","14300                        						
							km","204000                        						
							bbl","16000                        						
							bbl","2000000000                        						
							bbl","463000000                        						
							Cu.M","463000000                        						
							Cu.M","25995000000                        						
							Cu.M","0                        						
							Cu.M","0                        						
							mt","0                        						
							Cu.M","267667                        						
							km","885                        						
							km","3261                        						
							km","1600                        						
							km",Bern,"441,000",133
Botswana,2450668,1029281,617568,24507,21000,0,0,45,11,0,9,9,0,0,16,0,45,1224,12,36,20,0,,0,0,0,0,0,0,0,0,$                        							465600000,$                        							1853500000,$                        							46742000000,$                        							4756000000,122,1170000,0,"888                        						
							km","31747                        						
							km","0                        						
							bbl","21000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","0                        						
							Cu.M","0                        						
							Cu.M","2634000                        						
							Cu.M","2291000                        						
							mt","1660000000                        						
							Cu.M","581730                        						
							km","0                        						
							km","4347                        						
							km","0                        						
							km",Wellington,"422,000",122
North Macedonia,2135622,948216,783773,27763,9000,60000,3500,20,0,0,0,10,0,0,10,4,20,1108,0,150,17,0,,0,0,0,0,0,0,0,0,$                        							388421700,$                        							11000000000,$                        							42444000000,$                        							5015000000,13,801000,0,"699                        						
							km","14182                        						
							km","0                        						
							bbl","22000                        						
							bbl","0                        						
							bbl","0                        						
							Cu.M","274928000                        						
							Cu.M","0                        						
							Cu.M","5075000                        						
							Cu.M","5776000                        						
							mt","332000000                        						
							Cu.M","25713                        						
							km","0                        						
							km","838                        						
							km","0                        						
							km",Sarajevo,"344,000",112
Slovenia,2097893,1006989,826570,22867,7300,26000,5000,39,0,0,4,23,0,0,16,0,54,1428,0,18,0,2,,0,0,0,0,0,0,2,0,$                        							886860000,$                        							55000000000,$                        							102036000000,$                        							2370000000,42,1055000,2,"1207                        						
							km","38985                        						
							km","0                        						
							bbl","45000                        						
							bbl","0                        						
							bbl","3863000                        						
							Cu.M","840902000                        						
							Cu.M","0                        						
							Cu.M","2358000                        						
							Cu.M","2553000                        						
							mt","95000000                        						
							Cu.M","20273                        						
							km","47                        						
							km","1211                        						
							km","710                        						
							km",Ljubljana,"286,000",96
