country,region,continent,alliance,year,kpi_name,kpi_value
Burkina Faso,,Africa,Non-NATO,2025,budget_to_gdp_percent,0.35148518714210547
Cambodia,Southeast Asia,Asia,Non-NATO,2025,power_index_rank_gap,94.0
Cambodia,Southeast Asia,Asia,Non-NATO,2025,assets_per_capita,4726.000002344162
Cambodia,Southeast Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,1.8553417225753248
Cameroon,,Africa,Non-NATO,2025,power_index_rank_gap,92.0
Cameroon,,Africa,Non-NATO,2025,assets_per_capita,517.0000032939241
Cameroon,,Africa,Non-NATO,2025,budget_to_gdp_percent,1.0412508506922689
Canada,North America,North America,NATO,2025,power_index_rank_gap,27.0
Canada,North America,North America,NATO,2025,assets_per_capita,22129.000002912762
Canada,North America,North America,NATO,2025,budget_to_gdp_percent,1.827390222575119
Central African Republic,,Africa,Non-NATO,2025,power_index_rank_gap,142.0
Central African Republic,,Africa,Non-NATO,2025,assets_per_capita,234.0
Central African Republic,,Africa,Non-NATO,2025,budget_to_gdp_percent,1.67145540939065
Chad,,Africa,Non-NATO,2025,power_index_rank_gap,83.0
Chad,,Africa,Non-NATO,2025,assets_per_capita,3456.0
Chad,,Africa,Non-NATO,2025,budget_to_gdp_percent,1.9537554260929804
Chile,South America,South America,Non-NATO,2025,power_index_rank_gap,46.0
Chile,South America,South America,Non-NATO,2025,assets_per_capita,9744.000009751053
Chile,South America,South America,Non-NATO,2025,budget_to_gdp_percent,1.4999192855760672
China,East Asia,Asia,Non-NATO,2025,power_index_rank_gap,2.0
China,East Asia,Asia,Non-NATO,2025,assets_per_capita,155126.0000008318
China,East Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,1.423670519627119
Colombia,South America,South America,Non-NATO,2025,power_index_rank_gap,45.0
Colombia,South America,South America,Non-NATO,2025,assets_per_capita,4006.000009336869
Colombia,South America,South America,Non-NATO,2025,budget_to_gdp_percent,2.5169634785862387
Croatia,,Europe,NATO,2025,power_index_rank_gap,73.0
Croatia,,Europe,NATO,2025,assets_per_capita,3002.000009879242
Croatia,,Europe,NATO,2025,budget_to_gdp_percent,1.2647362974696037
Cuba,,North America,Non-NATO,2025,power_index_rank_gap,66.0
Cuba,,North America,Non-NATO,2025,assets_per_capita,7138.00000282691
Cuba,,North America,Non-NATO,2025,budget_to_gdp_percent,4.2
Czechia,,,NATO,2025,power_index_rank_gap,52.0
Czechia,,,NATO,2025,assets_per_capita,6482.0
Czechia,,,NATO,2025,budget_to_gdp_percent,1.94505402237449
Democratic Republic of the Congo,,,Non-NATO,2025,power_index_rank_gap,65.0
Democratic Republic of the Congo,,,Non-NATO,2025,assets_per_capita,1127.000000277289
Democratic Republic of the Congo,,,Non-NATO,2025,budget_to_gdp_percent,0.4857073170731707
Denmark,,Europe,NATO,2025,power_index_rank_gap,44.0
Denmark,,Europe,NATO,2025,assets_per_capita,4017.000012388802
Denmark,,Europe,NATO,2025,budget_to_gdp_percent,1.702013068951366
Dominican Republic,,North America,Non-NATO,2025,power_index_rank_gap,123.0
Dominican Republic,,North America,Non-NATO,2025,assets_per_capita,635.0000044379285
Dominican Republic,,North America,Non-NATO,2025,budget_to_gdp_percent,0.6523860233085359
Ecuador,,South America,Non-NATO,2025,power_index_rank_gap,64.0
Ecuador,,South America,Non-NATO,2025,assets_per_capita,5466.000002457676
Ecuador,,South America,Non-NATO,2025,budget_to_gdp_percent,1.9057385354144456
Egypt,North Africa,Africa,Non-NATO,2025,power_index_rank_gap,18.0
Egypt,North Africa,Africa,Non-NATO,2025,assets_per_capita,46687.00000232815
Egypt,North Africa,Africa,Non-NATO,2025,budget_to_gdp_percent,1.511439588688946
El Salvador,,North America,Non-NATO,2025,power_index_rank_gap,127.0
El Salvador,,North America,Non-NATO,2025,assets_per_capita,1972.0000036206184
El Salvador,,North America,Non-NATO,2025,budget_to_gdp_percent,0.9461908058145689
Eritrea,,Africa,Non-NATO,2025,power_index_rank_gap,119.0
Eritrea,,Africa,Non-NATO,2025,assets_per_capita,1020.0000064628443
Eritrea,,Africa,Non-NATO,2025,budget_to_gdp_percent,9.588370173924547
Estonia,,Europe,NATO,2025,power_index_rank_gap,106.0
Estonia,,Europe,NATO,2025,assets_per_capita,1690.0000134026811
Estonia,,Europe,NATO,2025,budget_to_gdp_percent,3.3928721440457483
Ethiopia,Sub-Saharan Africa,Africa,Non-NATO,2025,power_index_rank_gap,51.0
Ethiopia,Sub-Saharan Africa,Africa,Non-NATO,2025,assets_per_capita,8006.0
Ethiopia,Sub-Saharan Africa,Africa,Non-NATO,2025,budget_to_gdp_percent,1.4008086191057108
Finland,,Europe,Non-NATO,2025,power_index_rank_gap,47.0
Finland,,Europe,Non-NATO,2025,assets_per_capita,12734.000051542598
Finland,,Europe,Non-NATO,2025,budget_to_gdp_percent,2.2697455543392575
France,Western Europe,Europe,NATO,2025,power_index_rank_gap,6.0
France,Western Europe,Europe,NATO,2025,assets_per_capita,112123.00000293969
France,Western Europe,Europe,NATO,2025,budget_to_gdp_percent,1.740262569839067
Gabon,,Africa,Non-NATO,2025,power_index_rank_gap,132.0
Gabon,,Africa,Non-NATO,2025,assets_per_capita,448.000003665831
Gabon,,Africa,Non-NATO,2025,budget_to_gdp_percent,1.3151998010762442
Georgia,,Asia,Non-NATO,2025,power_index_rank_gap,93.0
Georgia,,Asia,Non-NATO,2025,assets_per_capita,3697.0000110182473
Georgia,,Asia,Non-NATO,2025,budget_to_gdp_percent,1.449656073749591
Germany,Western Europe,Europe,NATO,2025,power_index_rank_gap,13.0
Germany,Western Europe,Europe,NATO,2025,assets_per_capita,84140.00000112935
Germany,Western Europe,Europe,NATO,2025,budget_to_gdp_percent,1.067100887875876
Ghana,Sub-Saharan Africa,Africa,Non-NATO,2025,power_index_rank_gap,109.0
Ghana,Sub-Saharan Africa,Africa,Non-NATO,2025,assets_per_capita,1849.0000015900966
Ghana,Sub-Saharan Africa,Africa,Non-NATO,2025,budget_to_gdp_percent,0.3748111802731096
Greece,,Europe,NATO,2025,power_index_rank_gap,29.0
Greece,,Europe,NATO,2025,assets_per_capita,64488.00002494959
Greece,,Europe,NATO,2025,budget_to_gdp_percent,1.8512115776467977
Guatemala,,North America,Non-NATO,2025,power_index_rank_gap,102.0
Guatemala,,North America,Non-NATO,2025,assets_per_capita,779.0000024650489
Guatemala,,North America,Non-NATO,2025,budget_to_gdp_percent,0.3609863179872625
Honduras,,North America,Non-NATO,2025,power_index_rank_gap,100.0
Honduras,,North America,Non-NATO,2025,assets_per_capita,697.0000200436805
Honduras,,North America,Non-NATO,2025,budget_to_gdp_percent,1.1151125282146692
Hungary,Eastern Europe,Europe,NATO,2025,power_index_rank_gap,54.0
Hungary,Eastern Europe,Europe,NATO,2025,assets_per_capita,8370.0
Hungary,Eastern Europe,Europe,NATO,2025,budget_to_gdp_percent,2.0545724348009924
Iceland,,Europe,NATO,2025,power_index_rank_gap,134.0
Iceland,,Europe,NATO,2025,assets_per_capita,150.0
Iceland,,Europe,NATO,2025,budget_to_gdp_percent,0.9394024816607761
India,South Asia,Asia,Non-NATO,2025,power_index_rank_gap,3.0
India,South Asia,Asia,Non-NATO,2025,assets_per_capita,158999.00000034986
India,South Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,1.9182117803148837
Indonesia,Southeast Asia,Asia,Non-NATO,2025,power_index_rank_gap,12.0
Indonesia,Southeast Asia,Asia,Non-NATO,2025,assets_per_capita,21626.00000209545
Indonesia,Southeast Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,0.7591491265905687
Iran,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,15.0
Iran,Middle East,Asia,Non-NATO,2025,assets_per_capita,70159.00000185547
Iran,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,1.0369127516778522
Iraq,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,42.0
Iraq,Middle East,Asia,Non-NATO,2025,assets_per_capita,39314.00000228118
Iraq,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,2.757051348022091
Ireland,,Europe,Non-NATO,2025,power_index_rank_gap,96.0
Ireland,,Europe,Non-NATO,2025,assets_per_capita,1734.0000030572503
Ireland,,Europe,Non-NATO,2025,budget_to_gdp_percent,0.24624175178327243
Israel,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,14.0
Israel,Middle East,Asia,Non-NATO,2025,assets_per_capita,38067.0000127624
Israel,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,5.644177142775492
Italy,Western Europe,Europe,NATO,2025,power_index_rank_gap,9.0
Italy,Western Europe,Europe,NATO,2025,assets_per_capita,74517.00000406792
Italy,Western Europe,Europe,NATO,2025,budget_to_gdp_percent,1.2777618401955295
Ivory Coast,,Africa,Non-NATO,2025,power_index_rank_gap,101.0
Ivory Coast,,Africa,Non-NATO,2025,assets_per_capita,682.0000002001217
Ivory Coast,,Africa,Non-NATO,2025,budget_to_gdp_percent,0.7686562871427721
Japan,East Asia,Asia,Non-NATO,2025,power_index_rank_gap,7.0
Japan,East Asia,Asia,Non-NATO,2025,assets_per_capita,34408.00000213471
Japan,East Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,0.9087484259982318
Jordan,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,74.0
Jordan,Middle East,Asia,Non-NATO,2025,assets_per_capita,18436.000004832636
Jordan,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,4.685834515817972
Kazakhstan,,Asia,Non-NATO,2025,power_index_rank_gap,56.0
Kazakhstan,,Asia,Non-NATO,2025,assets_per_capita,8478.000002517274
Kazakhstan,,Asia,Non-NATO,2025,budget_to_gdp_percent,0.7028605975029576
Kenya,Sub-Saharan Africa,Africa,Non-NATO,2025,power_index_rank_gap,82.0
Kenya,Sub-Saharan Africa,Africa,Non-NATO,2025,assets_per_capita,4525.000000515053
Kenya,Sub-Saharan Africa,Africa,Non-NATO,2025,budget_to_gdp_percent,1.0864123757392945
Kosovo,,Europe,Non-NATO,2025,power_index_rank_gap,140.0
Kosovo,,Europe,Non-NATO,2025,assets_per_capita,737.0
Kosovo,,Europe,Non-NATO,2025,budget_to_gdp_percent,2.328386305783629
Kuwait,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,78.0
Kuwait,Middle East,Asia,Non-NATO,2025,assets_per_capita,6131.000072968163
Kuwait,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,3.7874236964746983
Kyrgyzstan,,Asia,Non-NATO,2025,power_index_rank_gap,104.0
Kyrgyzstan,,Asia,Non-NATO,2025,assets_per_capita,3077.0
Kyrgyzstan,,Asia,Non-NATO,2025,budget_to_gdp_percent,1.269005038258957
Laos,Southeast Asia,Asia,Non-NATO,2025,power_index_rank_gap,105.0
Laos,Southeast Asia,Asia,Non-NATO,2025,assets_per_capita,4660.000009052555
Laos,Southeast Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,0.818036554720889
Latvia,,Europe,NATO,2025,power_index_rank_gap,98.0
Latvia,,Europe,NATO,2025,assets_per_capita,1855.000019430994
Latvia,,Europe,NATO,2025,budget_to_gdp_percent,2.6050576226773825
Lebanon,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,114.0
Lebanon,Middle East,Asia,Non-NATO,2025,assets_per_capita,5087.000023301411
Lebanon,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,1.3993243480627058
Liberia,,Africa,Non-NATO,2025,power_index_rank_gap,137.0
Liberia,,Africa,Non-NATO,2025,assets_per_capita,300.00000147133227
Liberia,,Africa,Non-NATO,2025,budget_to_gdp_percent,7.632915516995384
Libya,North Africa,Africa,Non-NATO,2025,power_index_rank_gap,75.0
Libya,North Africa,Africa,Non-NATO,2025,assets_per_capita,2030.00000108677
Libya,North Africa,Africa,Non-NATO,2025,budget_to_gdp_percent,3.3066446719289577
Lithuania,,Europe,NATO,2025,power_index_rank_gap,87.0
Lithuania,,Europe,NATO,2025,assets_per_capita,1326.0000095122643
Lithuania,,Europe,NATO,2025,budget_to_gdp_percent,2.814801557372481
Luxembourg,,Europe,NATO,2025,power_index_rank_gap,116.0
Luxembourg,,Europe,NATO,2025,assets_per_capita,183.0
Luxembourg,,Europe,NATO,2025,budget_to_gdp_percent,0.7784027423877664
Madagascar,,Africa,Non-NATO,2025,power_index_rank_gap,129.0
Madagascar,,Africa,Non-NATO,2025,assets_per_capita,178.00000033952728
Madagascar,,Africa,Non-NATO,2025,budget_to_gdp_percent,0.6441261180891933
Malaysia,Southeast Asia,Asia,Non-NATO,2025,power_index_rank_gap,41.0
Malaysia,Southeast Asia,Asia,Non-NATO,2025,assets_per_capita,13885.000005352264
Malaysia,Southeast Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,1.1368292265262734
Mali,,Africa,Non-NATO,2025,power_index_rank_gap,103.0
Mali,,Africa,Non-NATO,2025,assets_per_capita,633.0
Mali,,Africa,Non-NATO,2025,budget_to_gdp_percent,2.427289177902693
Mauritania,,Africa,Non-NATO,2025,power_index_rank_gap,122.0
Mauritania,,Africa,Non-NATO,2025,assets_per_capita,752.0000027726177
Mauritania,,Africa,Non-NATO,2025,budget_to_gdp_percent,2.3950211385180356
Mexico,North America,North America,Non-NATO,2025,power_index_rank_gap,31.0
Mexico,North America,North America,Non-NATO,2025,assets_per_capita,20161.00000241701
Mexico,North America,North America,Non-NATO,2025,budget_to_gdp_percent,0.40940210989776477
Moldova,,Europe,Non-NATO,2025,power_index_rank_gap,133.0
Moldova,,Europe,Non-NATO,2025,assets_per_capita,570.0
Moldova,,Europe,Non-NATO,2025,budget_to_gdp_percent,9.395428435929029
Mongolia,,Asia,Non-NATO,2025,power_index_rank_gap,97.0
Mongolia,,Asia,Non-NATO,2025,assets_per_capita,3487.0
Mongolia,,Asia,Non-NATO,2025,budget_to_gdp_percent,0.6938986836051599
Montenegro,,Europe,Non-NATO,2025,power_index_rank_gap,126.0
Montenegro,,Europe,Non-NATO,2025,assets_per_capita,494.00002667337947
Montenegro,,Europe,Non-NATO,2025,budget_to_gdp_percent,1.7908065472431562
Morocco,North Africa,Africa,Non-NATO,2025,power_index_rank_gap,58.0
Morocco,North Africa,Africa,Non-NATO,2025,assets_per_capita,9193.000005964546
Morocco,North Africa,Africa,Non-NATO,2025,budget_to_gdp_percent,8.343139944351172
Mozambique,,Africa,Non-NATO,2025,power_index_rank_gap,88.0
Mozambique,,Africa,Non-NATO,2025,assets_per_capita,976.0000019789538
Mozambique,,Africa,Non-NATO,2025,budget_to_gdp_percent,1.8131185391718714
Myanmar,,,Non-NATO,2025,power_index_rank_gap,36.0
Myanmar,,,Non-NATO,2025,assets_per_capita,6952.000006814175
Myanmar,,,Non-NATO,2025,budget_to_gdp_percent,3.731356806516157
Namibia,,Africa,Non-NATO,2025,power_index_rank_gap,115.0
Namibia,,Africa,Non-NATO,2025,assets_per_capita,2157.0000103436223
Namibia,,Africa,Non-NATO,2025,budget_to_gdp_percent,2.7079336604566846
Nepal,South Asia,Asia,Non-NATO,2025,power_index_rank_gap,125.0
Nepal,South Asia,Asia,Non-NATO,2025,assets_per_capita,1137.0
Nepal,South Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,0.95329599299421
Netherlands,Western Europe,Europe,NATO,2025,power_index_rank_gap,35.0
Netherlands,Western Europe,Europe,NATO,2025,assets_per_capita,2893.0000045576344
Netherlands,Western Europe,Europe,NATO,2025,budget_to_gdp_percent,2.2223544686420893
New Zealand,Oceania,Oceania,Non-NATO,2025,power_index_rank_gap,85.0
New Zealand,Oceania,Oceania,Non-NATO,2025,assets_per_capita,2193.0000027125416
New Zealand,Oceania,Oceania,Non-NATO,2025,budget_to_gdp_percent,1.1646124544936436
Nicaragua,,North America,Non-NATO,2025,power_index_rank_gap,130.0
Nicaragua,,North America,Non-NATO,2025,assets_per_capita,1975.0000068893753
Nicaragua,,North America,Non-NATO,2025,budget_to_gdp_percent,0.4671477585381811
Niger,,Africa,Non-NATO,2025,power_index_rank_gap,118.0
Niger,,Africa,Non-NATO,2025,assets_per_capita,482.0
Niger,,Africa,Non-NATO,2025,budget_to_gdp_percent,1.6924825186181227
Nigeria,Sub-Saharan Africa,Africa,Non-NATO,2025,power_index_rank_gap,30.0
Nigeria,Sub-Saharan Africa,Africa,Non-NATO,2025,assets_per_capita,9794.00000103486
Nigeria,Sub-Saharan Africa,Africa,Non-NATO,2025,budget_to_gdp_percent,0.4728981524889918
North Korea,East Asia,Asia,Non-NATO,2025,power_index_rank_gap,33.0
North Korea,East Asia,Asia,Non-NATO,2025,assets_per_capita,24193.000014525453
North Korea,East Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,31.57333333333333
North Macedonia,,,NATO,2025,power_index_rank_gap,111.0
North Macedonia,,,NATO,2025,assets_per_capita,1298.0
North Macedonia,,,NATO,2025,budget_to_gdp_percent,2.291346040921331
Norway,,Europe,NATO,2025,power_index_rank_gap,37.0
Norway,,Europe,NATO,2025,assets_per_capita,6693.000014882754
Norway,,Europe,NATO,2025,budget_to_gdp_percent,1.6283813936099294
Oman,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,81.0
Oman,Middle East,Asia,Non-NATO,2025,assets_per_capita,4502.000009994895
Oman,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,7.464534641463666
Pakistan,South Asia,Asia,Non-NATO,2025,power_index_rank_gap,11.0
Pakistan,South Asia,Asia,Non-NATO,2025,assets_per_capita,24171.000000867796
Pakistan,South Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,2.037929519197942
Panama,,North America,Non-NATO,2025,power_index_rank_gap,135.0
Panama,,North America,Non-NATO,2025,assets_per_capita,300.0000127509904
Panama,,North America,Non-NATO,2025,budget_to_gdp_percent,1.0600555143384118
Paraguay,,South America,Non-NATO,2025,power_index_rank_gap,86.0
Paraguay,,South America,Non-NATO,2025,assets_per_capita,1172.0000179460446
Paraguay,,South America,Non-NATO,2025,budget_to_gdp_percent,39.57657371530006
Peru,South America,South America,Non-NATO,2025,power_index_rank_gap,48.0
Peru,South America,South America,Non-NATO,2025,assets_per_capita,7346.0000031594855
Peru,South America,South America,Non-NATO,2025,budget_to_gdp_percent,1.182482786864553
Philippines,Southeast Asia,Asia,Non-NATO,2025,power_index_rank_gap,40.0
Philippines,Southeast Asia,Asia,Non-NATO,2025,assets_per_capita,12384.000001471122
Philippines,Southeast Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,0.9488374914688781
Poland,Eastern Europe,Europe,NATO,2025,power_index_rank_gap,20.0
Poland,Eastern Europe,Europe,NATO,2025,assets_per_capita,24231.000002477656
Poland,Eastern Europe,Europe,NATO,2025,budget_to_gdp_percent,5.306357100165272
Portugal,Western Europe,Europe,NATO,2025,power_index_rank_gap,38.0
Portugal,Western Europe,Europe,NATO,2025,assets_per_capita,11092.000020959187
Portugal,Western Europe,Europe,NATO,2025,budget_to_gdp_percent,1.476995082948037
Qatar,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,71.0
Qatar,Middle East,Asia,Non-NATO,2025,assets_per_capita,5386.000087771268
Qatar,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,4.00153849381455
Republic of the Congo,,,Non-NATO,2025,power_index_rank_gap,120.0
Republic of the Congo,,,Non-NATO,2025,assets_per_capita,725.0000006559889
Republic of the Congo,,,Non-NATO,2025,budget_to_gdp_percent,1.9491106546505437
Romania,Eastern Europe,Europe,NATO,2025,power_index_rank_gap,50.0
Romania,Eastern Europe,Europe,NATO,2025,assets_per_capita,11962.000002093877
Romania,Eastern Europe,Europe,NATO,2025,budget_to_gdp_percent,2.5355220232024687
Russia,Eastern Europe,Europe,Non-NATO,2025,power_index_rank_gap,1.0
Russia,Eastern Europe,Europe,Non-NATO,2025,assets_per_capita,150074.00000538272
Russia,Eastern Europe,Europe,Non-NATO,2025,budget_to_gdp_percent,5.294117647058823
Saudi Arabia,Middle East,Asia,Non-NATO,2025,power_index_rank_gap,23.0
Saudi Arabia,Middle East,Asia,Non-NATO,2025,assets_per_capita,21264.000001641838
Saudi Arabia,Middle East,Asia,Non-NATO,2025,budget_to_gdp_percent,6.029982790835646
Senegal,,Africa,Non-NATO,2025,power_index_rank_gap,124.0
Senegal,,Africa,Non-NATO,2025,assets_per_capita,1800.0000004244591
Senegal,,Africa,Non-NATO,2025,budget_to_gdp_percent,1.4177919943804953
Serbia,Eastern Europe,Europe,Non-NATO,2025,power_index_rank_gap,62.0
Serbia,Eastern Europe,Europe,Non-NATO,2025,assets_per_capita,4205.00000481043
Serbia,Eastern Europe,Europe,Non-NATO,2025,budget_to_gdp_percent,2.538865393219746
Sierra Leone,,,Non-NATO,2025,power_index_rank_gap,139.0
Sierra Leone,,,Non-NATO,2025,assets_per_capita,151.00000153491118
Sierra Leone,,,Non-NATO,2025,budget_to_gdp_percent,2.974185169156606
Singapore,,,Non-NATO,2025,power_index_rank_gap,28.0
Singapore,,,Non-NATO,2025,assets_per_capita,9487.00001393391
Singapore,,,Non-NATO,2025,budget_to_gdp_percent,2.740293376277161
Slovakia,,Europe,NATO,2025,power_index_rank_gap,70.0
Slovakia,,Europe,NATO,2025,assets_per_capita,3169.0
Slovakia,,Europe,NATO,2025,budget_to_gdp_percent,1.8845687452504398
Slovenia,,Europe,NATO,2025,power_index_rank_gap,95.0
Slovenia,,Europe,NATO,2025,assets_per_capita,1539.000001906675
Slovenia,,Europe,NATO,2025,budget_to_gdp_percent,1.2153426181270794
Somalia,,Africa,Non-NATO,2025,power_index_rank_gap,141.0
Somalia,,Africa,Non-NATO,2025,assets_per_capita,682.0000015364201
Somalia,,Africa,Non-NATO,2025,budget_to_gdp_percent,0.6404582397003745
South Africa,Sub-Saharan Africa,Africa,Non-NATO,2025,power_index_rank_gap,39.0
South Africa,Sub-Saharan Africa,Africa,Non-NATO,2025,assets_per_capita,19260.00000150556
South Africa,Sub-Saharan Africa,Africa,Non-NATO,2025,budget_to_gdp_percent,0.4947190089846992
South Korea,East Asia,Asia,Non-NATO,2025,power_index_rank_gap,4.0
South Korea,East Asia,Asia,Non-NATO,2025,assets_per_capita,67108.0000064322
South Korea,East Asia,Asia,Non-NATO,2025,budget_to_gdp_percent,2.4688224516740003
South Sudan,,Africa,Non-NATO,2025,power_index_rank_gap,112.0
South Sudan,,Africa,Non-NATO,2025,assets_per_capita,2000.0
South Sudan,,Africa,Non-NATO,2025,budget_to_gdp_percent,0.9513488440935374
Spain,Western Europe,Europe,NATO,2025,power_index_rank_gap,16.0
Spain,Western Europe,Europe,NATO,2025,assets_per_capita,18691.000004103178
Spain,Western Europe,Europe,NATO,2025,budget_to_gdp_percent,1.3558199187441504
Sri Lanka,South Asia,Asia,Non-NATO,2025,power_index_rank_gap,68.0
Sri Lanka,South Asia,Asia,Non-NATO,2025,assets_per_capita,3415.0000151938298
